id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1377480167938312156,"Peony room, private w/ King bed!",20536619,Emily,,TENTH WARD,42.66183099633526,-73.78755056940085,Private room,68,4,1,2025-07-15,0.56,13,178,1,
1379906377578749938,Cozy Sunset,233515764,Etem,,SEVENTH WARD,42.64628669280813,-73.7715308891403,Entire home/apt,73,1,18,2025-08-23,3.20,6,333,18,
1380555997747082021,Albany Central Hotel w/Breakfast Next to Downtown,466790114,Zohar,,ELEVENTH WARD,42.6800233833328,-73.78522330726621,Private room,43,1,10,2025-08-16,1.96,22,365,10,
1381163571420241600,Elegant Albany Home Next Downtown Free Breakfast,466790114,Zohar,,ELEVENTH WARD,42.68231684583981,-73.7836715628194,Entire home/apt,44,1,14,2025-08-03,2.64,22,365,14,
1383513241348424944,Cozy Home 5 STAR AREA W/Parking,654226760,Jahwan,,FOURTEENTH WARD,42.66191,-73.7974412,Entire home/apt,89,1,15,2025-09-02,6.72,1,356,15,
1383910626115273822,"Cranberry room, large private queen, central loc.",20536619,Emily,,TENTH WARD,42.66317303594558,-73.78912755444637,Private room,65,28,1,2025-07-31,0.79,13,152,1,
1390171272060324410,New Large Bedroom! Has Parking!,55596850,Alain,,NINTH WARD,42.66002,-73.79333,Private room,43,5,1,2025-05-15,0.26,3,248,1,
1393472438317281309,Cozy Albany Suite Close to downtown W/breakfast.,466790114,Zohar,,ELEVENTH WARD,42.67776,-73.78216,Entire home/apt,50,1,9,2025-08-31,1.85,22,365,9,
1393482542585537728,Cozy Albany Suite Next to downtown W/breakfast,466790114,Zohar,,FIFTH WARD,42.67652148547361,-73.78111383843994,Entire home/apt,43,1,3,2025-06-22,0.61,22,365,3,
1393489507693048211,Albany 2 Beds Home Next to Downtown W/Breakfast,466790114,Zohar,,ELEVENTH WARD,42.6774277859628,-73.78242873068034,Entire home/apt,49,1,8,2025-08-30,2.31,22,363,8,
1393634713342137582,Albany Modern 2 Beds Room with breakfast,466790114,Zohar,,ELEVENTH WARD,42.67610273877896,-73.78233682651273,Entire home/apt,45,1,8,2025-08-20,2.11,22,364,8,
1393634936904017469,New Bedroom! Includes Parking!,55596850,Alain,,NINTH WARD,42.659475284293904,-73.79368120012339,Private room,51,14,3,2025-08-26,0.69,3,342,3,
1393638070589049592,Elegant Albany 2 Beds Room with free Breakfast,466790114,Zohar,,FIFTH WARD,42.67651022767566,-73.78215501783329,Entire home/apt,44,1,6,2025-08-16,1.43,22,365,6,
1395671676833912969,The Small Yellow Room with twin bed /tv,116935236,Felicisimo,,THIRTEENTH WARD,42.669917189344,-73.78632927186241,Private room,43,5,1,2025-08-21,1,5,358,1,
1396921235971014566,New Bedroom Centrally Located! Parking & Laundry,55596850,Alain,,FOURTEENTH WARD,42.661116057130855,-73.79408139551636,Private room,,28,3,2025-08-30,1.11,3,3,3,
1402461183704514588,4 bedroom house in Albany,32379616,Fabiola,,TENTH WARD,42.6605291,-73.7831549,Entire home/apt,129,28,2,2025-08-10,0.87,5,364,2,
